|       | 3 Ninjas Kick Back                                        | Psygnosis                    | Sega Genesis | 1994 | North America
|       | 6-Pak                                                     | Sega                         | Sega Genesis | 1996 | North America
|       | 688 Attack Sub                                            | Sega                         | Sega Genesis | 1991 | North America
|       | AAAHH!!! Real Monsters                                    | Viacom New Media             | Sega Genesis | 1995 | North America
|       | Action 52                                                 | Active                       | Sega Genesis | 1993 | North America
|       | Addams Family, The                                        | Flying Edge                  | Sega Genesis | 1994 | North America
|       | Adventures of Batman & Robin, The                         | Sega                         | Sega Genesis | 1995 | North America
|       | Adventures of Mighty Max, The                             | Ocean                        | Sega Genesis | 1994 | North America
|       | Adventures of Rocky and Bullwinkle and Friends, The       | Absolute Entertainment       | Sega Genesis | 1993 | North America
|       | Aero the Acro-Bat                                         | SunSoft                      | Sega Genesis | 1993 | North America
|       | Aero the Acro-Bat 2                                       | SunSoft                      | Sega Genesis | 1994 | North America
|       | Aerobiz                                                   | Koei                         | Sega Genesis | 1992 | North America
|       | Aerobiz Supersonic                                        | Koei                         | Sega Genesis | 1994 | North America
|       | After Burner II                                           | Sega                         | Sega Genesis | 1990 | North America
|       | Air Buster                                                | Kaneko                       | Sega Genesis | 1991 | North America
|       | Air Diver                                                 | Seismic                      | Sega Genesis | 1990 | North America
|       | Alex Kidd in the Enchanted Castle                         | Sega                         | Sega Genesis | 1989 | North America
|       | Alien 3                                                   | Arena                        | Sega Genesis | 1992 | North America
|       | Alien Storm                                               | Sega                         | Sega Genesis | 1991 | North America
|       | Alisia Dragoon                                            | Sega                         | Sega Genesis | 1992 | North America
|       | Altered Beast                                             | Sega                         | Sega Genesis | 1989 | North America
|       | American Gladiators                                       | GameTek                      | Sega Genesis | 1992 | North America
|       | Andre Agassi Tennis                                       | TecMagik                     | Sega Genesis | 1992 | North America
|       | Animaniacs                                                | Konami                       | Sega Genesis | 1994 | North America
|       | Aquatic Games Starring James Pond and the Aquabats, The   | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Arcade Classics                                           | Sega                         | Sega Genesis | 1996 | North America
|       | Arch Rivals                                               | Flying Edge                  | Sega Genesis | 1992 | North America
|       | Arcus Odyssey                                             | Renovation                   | Sega Genesis | 1991 | North America
|       | Arnold Palmer Tournament Golf                             | Sega                         | Sega Genesis | 1989 | North America
|       | Arrow Flash                                               | Renovation                   | Sega Genesis | 1990 | North America
|       | Art Alive                                                 | Sega                         | Sega Genesis | 1991 | North America
|       | Art of Fighting                                           | Sega                         | Sega Genesis | 1994 | North America
|       | Asterix and the Great Rescue                              | Sega                         | Sega Genesis | 1994 | North America
|       | Atomic Robo-Kid                                           | Treco                        | Sega Genesis | 1990 | North America
|       | Atomic Runner                                             | Data East                    | Sega Genesis | 1992 | North America
|       | ATP Tour Championship Tennis                              | Sega                         | Sega Genesis | 1994 | North America
|       | Awesome Possum                                            | Tengen                       | Sega Genesis | 1993 | North America
|       | Ayrton Senna's Super Monaco GP II                         | Sega                         | Sega Genesis | 1992 | North America
|       | B.O.B.                                                    | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Back to the Future Part III                               | Arena                        | Sega Genesis | 1991 | North America
|       | Ballz 3D                                                  | Accolade                     | Sega Genesis | 1994 | North America
|       | Barbie Super Model                                        | Hi Tech Expressions          | Sega Genesis | 1992 | North America
|       | Barkley: Shut Up and Jam 2                                | Accolade                     | Sega Genesis | 1995 | North America
|       | Barkley: Shut Up and Jam!                                 | Accolade                     | Sega Genesis | 1993 | North America
|       | Barney's Hide and Seek                                    | Sega                         | Sega Genesis | 1993 | North America
|       | Bass Masters Classic                                      | Black Pearl                  | Sega Genesis | 1995 | North America
|       | Bass Masters Classic: Pro Edition                         | Black Pearl                  | Sega Genesis | 1996 | North America
|       | Batman                                                    | SunSoft                      | Sega Genesis | 1990 | North America
|       | Batman Forever                                            | Acclaim                      | Sega Genesis | 1995 | North America
|       | Batman Returns                                            | Sega                         | Sega Genesis | 1992 | North America
|       | Batman: Revenge of the Joker                              | SunSoft                      | Sega Genesis | 1992 | North America
|       | Battle Master                                             | Arena                        | Sega Genesis | 1991 | North America
|       | Battle Squadron                                           | Electronic Arts              | Sega Genesis | 1990 | North America
|       | Battletech: A Game of Armored Combat                      | Extreme Entertainment Group  | Sega Genesis | 1994 | North America
|       | Battletoads                                               | Tradewest                    | Sega Genesis | 1991 | North America
|       | Battletoads / Double Dragon                               | Tradewest                    | Sega Genesis | 1993 | North America
|       | Beast Wrestler                                            | Renovation                   | Sega Genesis | 1991 | North America
|       | Beavis and Butt-head                                      | Viacom New Media             | Sega Genesis | 1994 | North America
|       | Beggar Prince                                             | Super Fighter Team           | Sega Genesis | 2006 | North America
|       | Berenstain Bears: Camping Adventure                       | Sega                         | Sega Genesis | 1993 | North America
|       | Best of the Best: Championship Karate                     | Electro Brain                | Sega Genesis | 1993 | North America
|       | Beyond Oasis                                              | Sega                         | Sega Genesis | 1994 | North America
|       | Bible Adventures                                          | Wisdom Tree                  | Sega Genesis | 1995 | North America
|       | Bill Walsh College Football                               | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Bill Walsh College Football '95                           | EA Sports                    | Sega Genesis | 1994 | North America
|       | Bimini Run                                                | Nuvision Entertainment       | Sega Genesis | 1990 | North America
|       | Bio-Hazard Battle                                         | Sega                         | Sega Genesis | 1992 | North America
|       | Blades of Vengeance                                       | Electronic Arts              | Sega Genesis | 1993 | North America
|       | Blaster Master 2                                          | SunSoft                      | Sega Genesis | 1993 | North America
|       | Blockbuster World Video Game Championship II              | Acclaim                      | Sega Genesis | 1995 | North America
|       | Blockout                                                  | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Bonanza Brothers                                          | Sega                         | Sega Genesis | 1991 | North America
|       | Boogerman: A Pick and Flick Adventure                     | Interplay                    | Sega Genesis | 1994 | North America
|       | Boxing Legends of the Ring                                | Electro Brain                | Sega Genesis | 1993 | North America
|       | Bram Stoker's Dracula                                     | Sony Imagesoft               | Sega Genesis | 1993 | North America
|       | Brett Hull Hockey 95                                      | Accolade                     | Sega Genesis | 1994 | North America
|       | Brutal: Paws of Fury                                      | GameTek                      | Sega Genesis | 1994 | North America
|       | Bubba 'n' Stix                                            | Core Design Ltd.             | Sega Genesis | 1993 | North America
|       | Bubble and Squeak                                         | SunSoft                      | Sega Genesis | 1994 | North America
|       | Bubsy II                                                  | Accolade                     | Sega Genesis | 1994 | North America
|       | Bubsy in: Claws Encounters of the Furred Kind             | Accolade                     | Sega Genesis | 1993 | North America
|       | Buck Rogers: Countdown to Doomsday                        | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Budokan: The Martial Spirit                               | Electronic Arts              | Sega Genesis | 1990 | North America
|       | Bugs Bunny in Double Trouble                              | Sega                         | Sega Genesis | 1996 | North America
|       | Bulls versus Blazers and the NBA Playoffs                 | EA Sports                    | Sega Genesis | 1993 | North America
|       | Bulls vs Lakers and the NBA Playoffs                      | Electronic Arts              | Sega Genesis | 1992 | North America
|       | Burning Force                                             | Namco                        | Sega Genesis | 1990 | North America
|       | Cadash                                                    | Taito Corporation            | Sega Genesis | 1992 | North America
|       | Caesars Palace                                            | Virgin Interactive           | Sega Genesis | 1993 | North America
|       | Cal Ripken Jr. Baseball                                   | Mindscape Inc.               | Sega Genesis | 1992 | North America
|       | Caliber .50                                               | Mentrix Software, Inc.       | Sega Genesis | 1991 | North America
|       | California Games                                          | Sega                         | Sega Genesis | 1991 | North America
|       | Captain America and the Avengers                          | Data East                    | Sega Genesis | 1992 | North America
|       | Cascade                                                   | Super Fighter Team           | Sega Genesis | 2015 | North America
|       | Castle of Illusion starring Mickey Mouse                  | Sega                         | Sega Genesis | 1990 | North America
|       | Castlevania: Bloodlines                                   | Konami                       | Sega Genesis | 1994 | North America
