|       | 2020 Super Baseball                                                                     | Tradewest                    | Super Nintendo | 1993 | North America
|       | 3 Ninjas Kick Back                                                                      | Sony Imagesoft               | Super Nintendo | 1994 | North America
|       | 7th Saga, The                                                                           | Enix America, Inc.           | Super Nintendo | 1993 | North America
|       | A.S.P. Air Strike Patrol                                                                | Seta Corporation             | Super Nintendo | 1995 | North America
|       | AAAHH!!! Real Monsters                                                                  | Viacom New Media             | Super Nintendo | 1995 | North America
|       | ABC Monday Night Football                                                               | Data East                    | Super Nintendo | 1993 | North America
|       | ACME Animation Factory                                                                  | SunSoft                      | Super Nintendo | 1994 | North America
|       | ActRaiser                                                                               | Enix America, Inc.           | Super Nintendo | 1991 | North America
|       | ActRaiser 2                                                                             | Enix America, Inc.           | Super Nintendo | 1993 | North America
|       | Addams Family Values                                                                    | Ocean                        | Super Nintendo | 1995 | North America
|       | Addams Family, The                                                                      | Ocean                        | Super Nintendo | 1992 | North America
|       | Addams Family: Pugsley's Scavenger Hunt, The                                            | Ocean                        | Super Nintendo | 1993 | North America
|       | Advanced Dungeons & Dragons: Eye of the Beholder                                        | Capcom                       | Super Nintendo | 1994 | North America
|       | Adventures of Batman & Robin, The                                                       | Konami                       | Super Nintendo | 1994 | North America
|       | Adventures of Dr. Franken, The                                                          | DTMC                         | Super Nintendo | 1993 | North America
|       | Adventures of Kid Kleets, The                                                           | Ocean                        | Super Nintendo | 1994 | North America
|       | Adventures of Mighty Max, The                                                           | Ocean                        | Super Nintendo | 1995 | North America
|       | Adventures of Rocky and Bullwinkle and Friends, The                                     | THQ                          | Super Nintendo | 1993 | North America
|       | Adventures of Yogi Bear                                                                 | Cybersoft                    | Super Nintendo | 1994 | North America
|       | Aero Fighters                                                                           | Mc O'River                   | Super Nintendo | 1994 | North America
|       | Aero The Acro-Bat                                                                       | SunSoft                      | Super Nintendo | 1993 | North America
|       | Aero the Acro-Bat 2                                                                     | SunSoft                      | Super Nintendo | 1994 | North America
|       | Aerobiz                                                                                 | Koei                         | Super Nintendo | 1993 | North America
|       | Aerobiz Supersonic                                                                      | Koei                         | Super Nintendo | 1994 | North America
|       | Air Cavalry                                                                             | Cybersoft                    | Super Nintendo | 1995 | North America
|       | Al Unser Jr.'s Road to the Top                                                          | Software Toolworks           | Super Nintendo | 1994 | North America
|       | Alien 3                                                                                 | LJN Ltd.                     | Super Nintendo | 1993 | North America
|       | Alien vs. Predator                                                                      | Activision                   | Super Nintendo | 1993 | North America
